Unnamed: 0,Age,Workclass,Fnlwgt,Education-num,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income
19749,34, Self-emp-not-inc,56460,9, Farming-fishing, Wife, White, Female,0,2179,12, United-States, <=50K
1216,48, Self-emp-not-inc,243631,10, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7688,0,40, United-States, >50K
27962,23, State-gov,56402,10, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
23077,56, Local-gov,255406,9, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
10180,17, Private,297246,7, Priv-house-serv, Own-child, White, Female,0,0,9, United-States, <=50K
12681,34, Private,152453,8, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
31752,37, Private,140673,10, Sales, Wife, White, Female,0,0,40, United-States, >50K
17581,49, Self-emp-not-inc,162856,10, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
31033,55, Private,132887,9, Transport-moving, Husband, Black, Male,3411,0,40, Jamaica, <=50K
9144,25, Private,131463,13, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26971,38, Private,255621,9, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
4907,37, Private,38468,10, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
13308,45, Private,88500,10, Machine-op-inspct, Husband, White, Male,0,0,44, United-States, >50K
14737,51, Local-gov,26832,9, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
13857,47, Private,52795,10, Machine-op-inspct, Husband, White, Male,0,0,46, United-States, <=50K
5116,34, Private,314646,5, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
16664,27, Local-gov,322208,10, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
25043,45, Private,140644,9, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
8648,21, Private,73679,10, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
10755,23, Private,85088,10, Other-service, Own-child, White, Female,0,0,37, United-States, <=50K
30845,46, Private,133616,10, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
30070,22, Private,192455,9, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
21612,31, Private,173350,9, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
31901,33, Private,199046,13, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23995,55, Self-emp-not-inc,322691,14, Sales, Husband, White, Male,3103,0,55, United-States, >50K
31300,24, Private,278130,12, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
2215,33, Private,127215,10, Sales, Husband, White, Male,0,0,48, United-States, >50K
12980,43, Private,269015,9, Machine-op-inspct, Husband, Black, Male,0,0,40, Germany, >50K
19408,46, Private,251786,2, Other-service, Not-in-family, White, Female,0,0,40, Mexico, <=50K
16293,18, Private,115839,8, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
8019,23, Private,277328,10, Handlers-cleaners, Own-child, White, Male,0,0,32, Cuba, <=50K
18938,44, Federal-gov,244054,10, Exec-managerial, Unmarried, White, Male,0,0,60, United-States, >50K
16359,30, Self-emp-not-inc,173854,9, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
1704,22, Private,376277,10, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
18998,45, Federal-gov,168232,13, Adm-clerical, Not-in-family, White, Male,0,0,55, United-States, >50K
30455,32, Private,193260,10, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
7763,53, Private,64322,4, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
29003,27, Private,165519,9, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
11402,22, Private,305498,9, Sales, Own-child, White, Female,0,0,33, United-States, <=50K
16094,31, Private,236599,13, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
16638,35, Private,283305,13, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
3437,63, Self-emp-not-inc,194638,9, Craft-repair, Husband, White, Male,0,0,32, United-States, <=50K
7247,36, Private,33001,9, Farming-fishing, Unmarried, White, Male,0,0,50, United-States, <=50K
20088,48, Self-emp-inc,184787,4, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
23990,31, Self-emp-not-inc,216283,12, Other-service, Wife, White, Female,0,0,35, United-States, >50K
1274,20, Private,232577,10, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
26754,42, Self-emp-not-inc,101709,11, Craft-repair, Husband, Asian-Pac-Islander, Male,2885,0,40, United-States, <=50K
28694,35, Self-emp-inc,153976,9, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
27489,62, Private,176839,13, Tech-support, Husband, White, Male,0,0,38, United-States, <=50K
31346,64, Federal-gov,271550,10, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
11783,27, Private,77774,9, Machine-op-inspct, Own-child, White, Female,0,0,34, United-States, <=50K
6210,24, Private,88126,9, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
12193,65, Self-emp-inc,178771,9, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27061,45, Private,221780,10, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States, <=50K
7075,28, Private,291374,9, Priv-house-serv, Unmarried, Black, Female,0,0,30, United-States, <=50K
9347,59, Private,175689,10, Adm-clerical, Wife, White, Female,0,0,14, Cuba, >50K
14530,48, Private,169324,9, Other-service, Unmarried, Black, Female,0,0,32, Haiti, <=50K
16174,42, Private,190179,13, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
2273,41, Private,118853,10, Sales, Husband, White, Male,0,0,40, United-States, <=50K
6027,25, Local-gov,169905,10, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
3699,58, Private,140363,9, Machine-op-inspct, Not-in-family, White, Male,3325,0,30, United-States, <=50K
17523,51, Private,122288,10, Machine-op-inspct, Unmarried, White, Female,0,0,36, United-States, <=50K
21875,49, Private,31267,4, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
14187,31, Private,59496,10, Adm-clerical, Husband, White, Male,0,0,50, United-States, <=50K
1329,29, Private,285290,7, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
28798,30, Self-emp-not-inc,116666,14, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, India, >50K
16592,40, Private,182140,9, Transport-moving, Unmarried, Black, Male,0,0,40, United-States, <=50K
21581,23, Private,218899,13, Sales, Own-child, White, Female,0,0,60, United-States, <=50K
5125,20, Private,216972,9, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
1571,44, Private,216907,12, Craft-repair, Husband, White, Male,0,1848,40, United-States, >50K
16668,37, Self-emp-not-inc,348960,12, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
31742,44, Private,201723,13, Exec-managerial, Husband, White, Male,15024,0,45, United-States, >50K
3165,27, Private,200641,6, Exec-managerial, Wife, White, Female,0,0,40, Mexico, <=50K
12669,36, Private,342642,14, Exec-managerial, Not-in-family, White, Male,0,0,15, United-States, <=50K
26619,27, Private,100168,4, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
29474,22, Private,205939,13, Exec-managerial, Own-child, White, Male,2202,0,4, United-States, <=50K
2074,36, Local-gov,126569,10, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
31794,30, Self-emp-inc,204470,10, Exec-managerial, Husband, White, Male,0,0,36, United-States, >50K
7050,31, Private,159737,6, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
24652,27, Private,50132,10, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
16011,39, Private,186420,9, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19098,42, Private,177989,9, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26496,26, Private,206600,7, Other-service, Other-relative, White, Male,0,0,30, Mexico, <=50K
10127,45, Private,34248,9, Sales, Husband, White, Male,0,0,50, United-States, <=50K
10217,49, Private,133729,10, Other-service, Husband, White, Male,0,0,17, United-States, <=50K
19739,18, Private,378707,6, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
28371,51, Private,152810,9, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
8449,66, Private,101607,9, Machine-op-inspct, Not-in-family, White, Male,0,0,10, United-States, <=50K
15411,47, Local-gov,352614,12, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
2202,55, Private,227158,13, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
11488,27, State-gov,365916,12, Exec-managerial, Not-in-family, White, Female,0,0,58, United-States, <=50K
28425,75, Self-emp-not-inc,125784,10, Exec-managerial, Husband, White, Male,0,0,8, United-States, <=50K
8265,24, Private,96178,13, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
9459,32, Private,97723,10, Craft-repair, Not-in-family, White, Male,0,0,38, United-States, <=50K
9390,60, Private,135470,3, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
27039,28, Private,535978,10, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
4660,34, Private,34374,10, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
6300,77, Self-emp-not-inc,209507,10, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
695,25, Private,202480,12, Craft-repair, Other-relative, White, Male,0,0,45, United-States, <=50K
30957,45, Private,179659,13, Craft-repair, Husband, White, Male,3103,0,40, United-States, >50K
29007,75, Private,256474,14, Protective-serv, Not-in-family, White, Male,0,0,16, United-States, <=50K
484,52, Private,271749,8, Farming-fishing, Other-relative, Black, Male,594,0,40, United-States, <=50K
12365,30, Self-emp-not-inc,117944,9, Prof-specialty, Husband, White, Male,0,0,25, United-States, <=50K
18430,34, Self-emp-inc,174215,14, Exec-managerial, Not-in-family, White, Female,4787,0,45, France, >50K
